UrbanPopulation,Surface_Area_of_Built_District,Road_Surface_Area_Per_Capita_m2,Parkland_per_capita,Rate_of_non_hazardous_treatment_of_domestic_waste(%),Population_urbanization,GDP,First_sector_of_GDP,Industrial_wastewater_discharge_(tonnes),Industrial_fume_emissions_(tonnes),Comprehensive_industrial_solid_waste_utilisation_rate(%),Citycode,Area_of_administrative_districts,Greening_coverage_in_builtup_areas,Year,CO2,ISA,NPP,NTL,PD,pm2.5,Science_expend,SO2_REMOVE,Sewage,PUI,LUI,EUI,EAL
140.46,216.0,25.69,16.35,100.0,0.6683,47420000,9.39,2400,6210,94.43,320800,10033,44.0,2022,32030419.4843582,1364.76,448.624622443818,18.35965349,364.310122962539,32.4213664157,132248.0,369314.0,91.32,0.6683,0.13602711053523373,0.9061,18.35965349
139.42,174.6,26.5,15.75,100.0,0.6543,70800000,11.21,8988,3632,96.11,320900,15492,44.1,2022,34267600.5792244,2123.27,549.358388017725,20.3619053565,364.753333649694,27.6163450571,257795.0,-63306.0,92.71,0.6543,0.13705589981926156,0.8879,20.3619053565
108.27,198.94,26.6,19.79,100.0,0.7201,71050000,4.6,7529,5466,96.31,321000,6587,44.9,2022,30033162.1310246,1067.52,455.402581827702,26.3192395437,516.796652811201,31.5110307431,145907.0,689687.0,92.4,0.7201,0.1620646728404433,0.954,26.3192395437
79.4,147.29,29.87,18.13,100.0,0.8024,50170000,3.27,5122,2571,96.38,321100,3842,43.5,2022,81493648.1368966,735.96,491.875843603912,34.6218049035,624.225085259568,32.3843275145,126687.0,827254.0,95.34,0.8024,0.19155648099947944,0.9673,34.6218049035
87.32,159.47,31.78,18.12,100.0,0.6924,64020000,5.22,4935,1649,96.64,321200,5789,44.6,2022,52481366.4259144,1028.6,446.943989055782,32.0734229576,614.412186831172,30.461554532,162265.0,166664.0,95.48,0.6924,0.17768181032993607,0.9478,32.0734229576
95.14,122.75,24.72,15.0,100.0,0.6407,41120000,9.11,7161,3636,83.24,321300,8525,45.0,2022,27506607.6740739,1528.22,457.913799661003,20.2050169968,414.304278789905,34.8594400118,193076.0,85766.0,98.0,0.6407,0.1792633431085044,0.9089,20.2050169968
709.0,829.41,13.81,12.7,100.0,0.84,187530000,1.84,17157,11735,97.02,330100,16847,40.96,2022,60843663.050458,1640.54,622.59526757227,19.9850622407,406.89066583972,23.0087081335,2077342.0,229472.0,97.25,0.84,0.09737876179735264,0.9816,19.9850622407
224.72,397.4,18.0,14.84,100.0,0.789,157040000,2.43,15739,12933,94.53,330200,9546,43.43,2022,94983561.7100094,1700.85,669.949096025595,33.4504869347,653.204361013198,20.3131388131,1509955.0,844596.0,93.37,0.789,0.178174104336895,0.9757,33.4504869347
159.9,283.21,15.69,13.03,100.0,0.7365,80300000,2.21,4376,1857,94.28,330300,11598,39.79,2022,43819481.0140684,894.37,779.47183704454,25.1626260983,631.828614695812,19.0482888732,380168.0,146185.0,98.44,0.7365,0.07711415761338161,0.9779,25.1626260983
54.97,165.57,28.28,16.45,100.0,0.7235,67390000,2.14,19398,6108,97.04,330400,4921,40.21,2022,38257906.6434243,890.09,527.021763632033,45.6172248804,864.015792339808,26.8900429809,461927.0,-67999.0,98.31,0.7235,0.1808758382442593,0.9786,45.6172248804
48.31,134.92,30.3,18.19,100.0,0.6636,38500000,4.19,7643,7223,100.27,330500,5816,43.85,2022,22329705.269392,699.78,545.379480741495,30.2539082632,388.727318803852,26.9051318597,262508.0,-371198.0,98.54,0.6636,0.12031980742778542,0.9581,30.2539082632
109.55,266.07,30.29,16.24,100.0,0.721,73510000,3.31,27580,3195,93.93,330600,8275,44.76,2022,18736591.2136094,962.07,629.887948143406,26.2838327695,478.731095503056,23.8987482437,418552.0,18612.0,98.0,0.721,0.11626223564954684,0.9669,26.2838327695
60.19,115.93,26.44,13.89,100.0,0.694,55620000,2.91,7500,8832,98.07,330700,10946,42.23,2022,46986754.5878877,1091.89,646.836930170514,24.0535239666,388.250787347665,22.5967399368,280770.0,43677.0,97.93,0.694,0.09975242097569889,0.9709,24.0535239666
30.34,87.7,37.17,17.11,100.0,0.593,20030000,4.65,8992,6895,100.02,330800,8844,40.96,2022,27644430.0701667,462.88,668.553711851386,13.3366101695,191.166709129512,21.4246183712,202699.0,-50872.0,97.45,0.593,0.052338308457711445,0.9535,13.3366101695
49.56,70.85,23.53,16.12,100.0,0.732,19510000,8.76,1469,1631,97.96,330900,1324,44.54,2022,14962742.0680932,211.8,790.096936472104,38.137254902,650.184388444991,15.675959851,109409.0,18584.0,91.92,0.732,0.15996978851963747,0.9124,38.137254902
116.01,159.5,15.46,14.46,100.0,0.639,60410000,5.46,5798,5085,95.34,331000,9663,44.01,2022,39262168.6627712,940.56,739.180945205479,23.4206670522,492.419618314615,19.5023254083,268593.0,938457.0,97.78,0.639,0.0973362309841664,0.9454,23.4206670522
24.83,47.34,19.73,13.16,100.0,0.635,18310000,6.43,2562,1434,95.49,331100,17275,42.84,2022,7144535.68642418,293.02,747.185856811638,7.76288181765,98.2777826468011,18.4355223002,160453.0,2211.0,97.97,0.635,0.016962083936324167,0.9357,7.76288181765
318.68,506.6,14.91,14.92,100.0,0.8464,120130000,3.16,4207,5278,81.46,340100,11425,45.96,2022,82458735.3977401,1526.27,423.488093096145,23.4737392213,502.797477224947,33.1040524994,2456708.0,79382.0,95.88,0.8464,0.13359037199124726,0.9684,23.4737392213
140.18,265.08,25.91,16.45,100.0,0.7355,45020000,3.98,4039,12416,79.29,340200,6002,45.84,2022,39585472.8198643,574.08,473.85090928259,22.8780568957,458.625641025641,32.7730548758,730404.0,150929.0,95.93,0.7355,0.09564811729423527,0.9601999999999999,22.8780568957
